Poly	|V|	|F|	|S|	|B|	|A|	|X|	|E|
7079	11	51	6	3	0	9	42
7080	10	31	4	1	0	5	26
7081	11	48	12	6	0	18	30
7082	11	48	12	0	0	12	36
7083	11	48	8	2	0	10	38
7084	11	52	8	4	0	12	40
7085	11	48	6	3	0	9	39
7086	11	51	6	6	0	12	39
7087	11	48	12	12	0	24	24
7088	12	60	12	0	0	12	48
7089	12	60	24	0	0	24	36
7090	11	48	12	0	0	12	36
7091	11	48	24	0	0	24	24
7092	10	36	12	6	0	18	18
7093	11	48	12	6	0	18	30
7094	11	48	24	0	0	24	24
7095	11	48	12	3	0	15	33
7096	11	48	12	12	0	24	24
7097	12	60	24	0	0	24	36
7098	12	60	24	0	0	24	36
7099	11	48	12	0	0	12	36
7100	11	48	24	0	0	24	24
7101	10	36	12	6	0	18	18
7102	11	48	6	0	0	6	42
7103	11	48	12	0	0	12	36
7104	11	48	6	0	0	6	42
7105	11	48	6	6	0	12	36
7106	12	60	12	0	0	12	48
7107	11	48	12	0	0	12	36
7108	10	36	6	0	0	6	30
7109	11	52	16	0	0	16	36
7110	11	52	32	4	0	36	16
7111	11	52	8	2	0	10	42
7112	11	52	8	4	0	12	40
7113	11	48	6	3	0	9	39
7114	11	55	16	1	0	17	38
7115	12	64	16	8	0	24	40
7116	12	64	32	0	0	32	32
7117	11	52	16	4	0	20	32
7118	11	48	24	6	0	30	18
7119	11	48	12	0	0	12	36
7120	11	48	12	3	0	15	33
7121	11	48	12	6	0	18	30
7122	11	48	24	0	0	24	24
7123	10	36	6	2	0	8	28
7124	10	36	24	2	0	26	10
7125	10	36	18	4	0	22	14
7126	10	36	12	2	0	14	22
7127	11	48	16	0	0	16	32
7128	12	64	32	0	0	32	32
7129	12	64	32	0	0	32	32
7130	11	48	32	0	0	32	16
7131	11	48	12	0	0	12	36
7132	11	48	12	0	0	12	36
7133	11	48	24	0	0	24	24
7134	11	48	24	0	0	24	24
7135	10	32	24	0	0	24	8
7136	11	48	8	1	0	9	39
7137	11	48	8	4	0	12	36
7138	12	64	16	0	0	16	48
7139	11	48	16	0	0	16	32
7140	10	36	8	2	0	10	26
7141	10	36	8	2	0	10	26
7142	11	48	12	3	0	15	33
7143	11	48	6	6	0	12	36
7144	12	60	12	0	0	12	48
7145	11	51	12	0	0	12	39
7146	11	48	12	0	0	12	36
7147	11	48	12	0	0	12	36
7148	10	36	6	3	0	9	27
7149	12	64	16	4	0	20	44
7150	11	52	16	2	0	18	34
7151	11	48	12	3	0	15	33
7152	11	48	24	0	0	24	24
7153	10	37	12	1	0	13	24
